nr,filename,name,type,tapered_type,shape,shape_type,exact_stock_shape,diameter_mm,cutting_edge_height_mm,length_mm,shank_diameter_mm,flutes,angle_half_deg,included_angle_deg,tip_diameter_mm,tip_radius_mm,drill_point_angle_deg,product_id,description
31,1.000mm_Tapered_Ball_7.000deg_TB04B.fctb,1.000mm Tapered Ball 7.000deg [TB04B],tapered mill,tapered_ball,ballend.fcstd,Ballend,False,1.0,20.0,50,6.35,2,7.0,14.0,,0.5,,TB04B,"Genmitsu ball nose tapered [TB04B], Nano Blue Coat"
32,1.500mm_Tapered_Ball_6.500deg_TB04B.fctb,1.500mm Tapered Ball 6.500deg [TB04B],tapered mill,tapered_ball,ballend.fcstd,Ballend,False,1.5,20.0,50,6.35,2,6.5,13.0,,0.75,,TB04B,"Genmitsu ball nose tapered [TB04B], Nano Blue Coat"
33,2.000mm_Tapered_Ball_6.000deg_TB04B.fctb,2.000mm Tapered Ball 6.000deg [TB04B],tapered mill,tapered_ball,ballend.fcstd,Ballend,False,2.0,20.0,50,6.35,2,6.0,12.0,,1.0,,TB04B,"Genmitsu ball nose tapered [TB04B], Nano Blue Coat"
34,0.250mm_Tapered_Ball_5.000deg_TB04A.fctb,0.250mm Tapered Ball 5.000deg [TB04A],tapered mill,tapered_ball,ballend.fcstd,Ballend,False,0.25,15.0,38,3.175,2,5.0,10.0,,0.125,,TB04A,"Genmitsu ball nose tapered [TB04A], Nano Blue Coat"
35,6.350mm_Flat_End_SU05A.fctb,6.350mm Flat End [SU05A],flat end mill,,endmill.fcstd,Endmill,True,6.35,12.0,50,6.35,1,,,,,,SU05A,"Genmitsu flat end [SU05A], Nano Blue Coat"
36,6.350mm_Flat_End_SU05A_2.fctb,6.350mm Flat End [SU05A],flat end mill,,endmill.fcstd,Endmill,True,6.35,15.0,50,6.35,1,,,,,,SU05A,"Genmitsu flat end [SU05A], Nano Blue Coat"
37,6.350mm_Flat_End_SU05A_3.fctb,6.350mm Flat End [SU05A],flat end mill,,endmill.fcstd,Endmill,True,6.35,17.0,50,6.35,1,,,,,,SU05A,"Genmitsu flat end [SU05A], Nano Blue Coat"
38,6.350mm_Flat_End_SU05A_4.fctb,6.350mm Flat End [SU05A],flat end mill,,endmill.fcstd,Endmill,True,6.35,22.0,50,6.35,1,,,,,,SU05A,"Genmitsu flat end [SU05A], Nano Blue Coat"
39,6.350mm_Flat_End_SU05A_5.fctb,6.350mm Flat End [SU05A],flat end mill,,endmill.fcstd,Endmill,True,6.35,25.0,50,6.35,1,,,,,,SU05A,"Genmitsu flat end [SU05A], Nano Blue Coat"
40,3.175mm_Flat_End_SS05A.fctb,3.175mm Flat End [SS05A],flat end mill,,endmill.fcstd,Endmill,True,3.175,12.7,51,6.35,2,,,,,,SS05A,"Genmitsu flat end [SS05A], Nano Blue Coat"
41,3.175mm_Flat_End_SS05A_2.fctb,3.175mm Flat End [SS05A],flat end mill,,endmill.fcstd,Endmill,True,3.175,12.7,64,6.35,2,,,,,,SS05A,"Genmitsu fishtail [SS05A], Nano Blue Coat"
42,6.350mm_Flat_End_SS05A.fctb,6.350mm Flat End [SS05A],flat end mill,,endmill.fcstd,Endmill,True,6.35,25.4,64,6.35,2,,,,,,SS05A,"Genmitsu fishtail [SS05A], Nano Blue Coat"
43,6.350mm_Flat_End_SS05A_2.fctb,6.350mm Flat End [SS05A],flat end mill,,endmill.fcstd,Endmill,True,6.35,25.4,76,6.35,1,,,,,,SS05A,"Genmitsu o flute [SS05A], Nano Blue Coat"
44,6.350mm_Flat_End_SS05A_3.fctb,6.350mm Flat End [SS05A],flat end mill,,endmill.fcstd,Endmill,True,6.35,25.4,76,6.35,2,,,,,,SS05A,"Genmitsu flat end [SS05A], Nano Blue Coat"
